uuid,title,date,trending,brexit,covid
31cc2e5cbb2f44889d46dd4aa208cd15,Sunak urged to extend furlough scheme - but only in certain cases,2020-09-11,No,0,0
e3fa63e411fe44498b53d98d569be0f0,Flash floods hit US drivers,2020-09-11,No,0,0
4f36d9672be345f0aebe55ec04245278,BLM: Holding criticises England cricket team,2020-09-11,No,0,0
3729302de06e4789a640a9226a78eb10,Japan deal a 'stepping stone' to CPTPP goal,2020-09-11,No,0,0
1c6f58527b5144f68517f91bf5d160e3,'I'd be surprised' if Brexit bill is approved,2020-09-11,No,1,0
73d3fab03e0341d9a4661508b3d53a10,Pandemic tips: 'Listen to Blue Danube and dance',2020-09-11,No,0,0
33deb2651a9b4306b4592facc33bf735,The race for the White House tightens,2020-09-11,No,0,0
d9efae4ef9464bc9acf459ccdd4dfc12,Brexit - Breaking international law,2020-09-11,No,1,0
4b7f6d28644e4a23bbc74c53b8053e6d,Climate After Covid: Can the UK lead a green recovery? ,2020-09-11,No,0,1
1e7fbe9fc35446ba8f41e3268fdcc31e,Australia three down after Wood double LIVE!,2020-09-11,No,0,0
537f322c44f54cbba43e23eb89fe59da,Tuscan GP Practice Two LIVE!,2020-09-11,No,0,0
807417628b9a43a49c56152764235d65,Arteta: Fans can relax over Aubameyang future,2020-09-11,No,0,0
324a3a9b0bbe41a6b27d3b6276e2a46b,A new season is starting. Don't miss a single match,2020-09-11,No,0,0
22f31a73211846c38bfc0e88fba691d1,Climate After Covid: Can the UK lead a green recovery? ,2020-09-11,No,0,1
d9ddaff2d2e1485f8d2be3d9337ac525,Teenager arrested after boy| 15| seriously injured in shooting on way to school,2020-09-11,Yes,0,0
2bd76a3653714929976a9d2c6fe66393,UK records 2|948 daily cases - as number of holiday destinations on 'safe list' declines,2020-09-11,Yes,0,0
7905824790fc485e8d7cdc87406cb08d,Fosun plots Thomas Cook relaunch in eye of pandemic storm,2020-09-11,Yes,0,0
ff1b48bc09cc4f11be8beefb52cf2ace,Man| 27| arrested in connection with Birmingham stabbings ,2020-09-11,Yes,0,0
4b0b37a2c49945fd870a34d185541f8a,Gascoigne pleads with burglars to return late father's watch,2020-09-11,Yes,0,0
998a9d65d6504526b92a0609bcbb292e,Boris Johnson 'planning new law to override Withdrawal Agreement',2020-09-11,Yes,0,0
99cf8956d39b4d359211c1129ff04535,Monday's national newspaper front pages,2020-09-11,Yes,0,0
fc1571ddb7ba475884bbd86803bdb09f,Quarantine time could be cut under ministers' airport testing plan,2020-09-11,Yes,0,0
0fed3aaa395a41758238ddcd52dba93c,Minister dismisses 'treacherous betrayal' claims over reported Brexit agreement changes,2020-09-11,Yes,1,0
4cdc4bc5d7ed4c90bde116404fbe35d3,Djokovic 'so sorry' after being disqualified from US Open for hitting line judge with ball,2020-09-11,Yes,0,0
